nome,estado,partido
ABEL MESQUITA JR.,RR,DEM
ADAIL CARNEIRO,CE,PODE
ADALBERTO CAVALCANTI,PE,AVANTE
ADELMO CARNEIRO LEÃO,MG,PT
ADELSON BARRETO,SE,PR
ADEMIR CAMILO,MG,MDB
ADILTON SACHETTI,MT,PRB
AELTON FREITAS,MG,PR
AFONSO FLORENCE,BA,PT
AFONSO HAMM,RS,PP
AFONSO MOTTA,RS,PDT
AGUINALDO RIBEIRO,PB,PP
ALAN RICK,AC,DEM
ALBERTO FILHO,MA,PP
ALBERTO FRAGA,DF,DEM
ALCEU MOREIRA,RS,MDB
ALESSANDRO MOLON,RJ,PSB
ALEX CANZIANI,PR,PTB
ALEX MANENTE,SP,PPS
ALEXANDRE LEITE,SP,DEM
ALEXANDRE SERFIOTIS,RJ,PSD
ALEXANDRE VALLE,RJ,PR
ALFREDO KAEFER,PR,PP
ALFREDO NASCIMENTO,AM,PR
ALICE PORTUGAL,BA,PCdoB
ALIEL MACHADO,PR,PSB
ALTINEU CÔRTES,RJ,PR
ALUISIO MENDES,MA,PODE
ANA PERUGINI,SP,PT
ANDRÉ ABDON,AP,PP
ANDRÉ AMARAL,PB,PROS
ANDRÉ DE PAULA,PE,PSD
ANDRÉ FIGUEIREDO,CE,PDT
ANDRÉ FUFUCA,MA,PP
ANDRE MOURA,SE,PSC
ANDRES SANCHEZ,SP,PT
ANGELIM,AC,PT
ANÍBAL GOMES,CE,DEM
ANTONIO BALHMANN,CE,PDT
ANTONIO BRITO,BA,PSD
ANTONIO BULHÕES,SP,PRB
ANTONIO CARLOS MENDES THAME,SP,PV
ANTONIO IMBASSAHY,BA,PSDB
ANTÔNIO JÁCOME,RN,PODE
ARIOSTO HOLANDA,CE,PDT
ARLINDO CHINAGLIA,SP,PT
ARNALDO FARIA DE SÁ,SP,PP
ARNALDO JARDIM,SP,PPS
ARNALDO JORDY,PA,PPS
AROLDE DE OLIVEIRA,RJ,PSD
ARTHUR LIRA,AL,PP
ARTHUR OLIVEIRA MAIA,BA,DEM
ARTHUR VIRGÍLIO BISNETO,AM,PSDB
ASSIS CARVALHO,PI,PT
ASSIS DO COUTO,PR,PDT
ÁTILA LINS,AM,PP
ÁTILA LIRA,PI,PSB
AUGUSTO CARVALHO,DF,SD
AUGUSTO COUTINHO,PE,SD
AUREO,RJ,SD
BACELAR,BA,PODE
BALEIA ROSSI,SP,MDB
BEBETO,BA,PSB
BENEDITA DA SILVA,RJ,PT
BENITO GAMA,BA,PTB
BENJAMIN MARANHÃO,PB,MDB
BETINHO GOMES,PE,PSDB
BETO FARO,PA,PT
BETO MANSUR,SP,MDB
BETO ROSADO,RN,PP
BETO SALAME,PA,PP
BILAC PINTO,MG,DEM
BOHN GASS,RS,PT
BONIFÁCIO DE ANDRADA,MG,DEM
BRUNA FURLAN,SP,PSDB
BRUNNY,MG,PR
BRUNO ARAÚJO,PE,PSDB
CABO DACIOLO,RJ,PATRI
CABO SABINO,CE,AVANTE
CABUÇU BORGES,AP,MDB
CACÁ LEÃO,BA,PP
CAETANO,BA,PT
CAIO NARCIO,MG,PSDB
CAJAR NARDES,RS,PODE
CAPITÃO AUGUSTO,SP,PR
CAPITÃO FÁBIO ABREU,PI,PR
CARLOS ANDRADE,RR,PHS
CARLOS BEZERRA,MT,MDB
CARLOS EDUARDO CADOCA,PE,PDT
CARLOS GOMES,RS,PRB
CARLOS HENRIQUE GAGUIM,TO,DEM
CARLOS MANATO,ES,PSL
CARLOS MELLES,MG,DEM
CARLOS SAMPAIO,SP,PSDB
CARLOS SOUZA,AM,PSDB
CARLOS ZARATTINI,SP,PT
CARMEN ZANOTTO,SC,PPS
CÉLIO SILVEIRA,GO,PSDB
CELSO JACOB,RJ,MDB
CELSO MALDANER,SC,MDB
CELSO PANSERA,RJ,PT
CELSO RUSSOMANNO,SP,PRB
CÉSAR HALUM,TO,PRB
CÉSAR MESSIAS,AC,PSB
CESAR SOUZA,SC,PSD
CHICO ALENCAR,RJ,PSOL
CHICO D'ANGELO,RJ,PDT
CHICO LOPES,CE,PCdoB
CHRISTIANE DE SOUZA YARED,PR,PR
CÍCERO ALMEIDA,AL,PHS
CLARISSA GAROTINHO,RJ,PROS
CLAUDIO CAJADO,BA,PP
CLEBER VERDE,MA,PRB
CONCEIÇÃO SAMPAIO,AM,PSDB
COVATTI FILHO,RS,PP
CREUZA PEREIRA,PE,PSB
CRISTIANE BRASIL,RJ,PTB
DAGOBERTO NOGUEIRA,MS,PDT
DAMIÃO FELICIANO,PB,PDT
DÂMINA PEREIRA,MG,PODE
DANIEL ALMEIDA,BA,PCdoB
DANIEL COELHO,PE,PPS
DANIEL VILELA,GO,MDB
DANILO CABRAL,PE,PSB
DANILO FORTE,CE,PSDB
DANRLEI DE DEUS HINTERHOLZ,RS,PSD
DARCÍSIO PERONDI,RS,MDB
DAVIDSON MAGALHÃES,BA,PCdoB
DÉCIO LIMA,SC,PT
DEJORGE PATRÍCIO,RJ,PRB
DELEGADO ÉDER MAURO,PA,PSD
DELEGADO EDSON MOREIRA,MG,PR
DELEGADO FRANCISCHINI,PR,PSL
DELEGADO WALDIR,GO,PSL
DELEY,RJ,PTB
DEOCLIDES MACEDO,MA,PDT
DIEGO ANDRADE,MG,PSD
DIEGO GARCIA,PR,PODE
DILCEU SPERAFICO,PR,PP
DIMAS FABIANO,MG,PP
DOMINGOS NETO,CE,PSD
DOMINGOS SÁVIO,MG,PSDB
DR. JORGE SILVA,ES,SD
DR. SINVAL MALHEIROS,SP,PODE
DULCE MIRANDA,TO,MDB
EDIO LOPES,RR,PR
EDMAR ARRUDA,PR,PSD
EDMILSON RODRIGUES,PA,PSOL
EDUARDO BARBOSA,MG,PSDB
EDUARDO BOLSONARO,SP,PSL
EDUARDO CURY,SP,PSDB
EDUARDO DA FONTE,PE,PP
EFRAIM FILHO,PB,DEM
ELCIONE BARBALHO,PA,MDB
ELI CORRÊA FILHO,SP,DEM
ELIZEU DIONIZIO,MS,PSB
ELIZIANE GAMA,MA,PPS
ELMAR NASCIMENTO,BA,DEM
ENIO VERRI,PR,PT
ERIKA KOKAY,DF,PT
ERIVELTON SANTANA,BA,PATRI
ERON BEZERRA,AM,PCdoB
EROS BIONDINI,MG,PROS
ESPERIDIÃO AMIN,SC,PP
EURICELIA CARDOSO,AP,PP
EVAIR VIEIRA DE MELO,ES,PP
EVANDRO GUSSI,SP,PV
EVANDRO ROMAN,PR,PSD
EXPEDITO NETTO,RO,PSD
EZEQUIEL FONSECA,MT,PP
EZEQUIEL TEIXEIRA,RJ,PODE
FÁBIO FARIA,RN,PSD
FABIO GARCIA,MT,DEM
FÁBIO MITIDIERI,SE,PSD
FÁBIO RAMALHO,MG,MDB
FABIO REIS,SE,MDB
FÁBIO SOUSA,GO,PSDB
FÁBIO TRAD,MS,PSD
FAUSTO PINATO,SP,PP
FELIPE BORNIER,RJ,PROS
FELIPE CARRERAS,PE,PSB
FELIPE MAIA,RN,DEM
FÉLIX MENDONÇA JÚNIOR,BA,PDT
FERNANDO COELHO FILHO,PE,DEM
FERNANDO MONTEIRO,PE,PP
FERNANDO TORRES,BA,PSD
FLÁVIA MORAIS,GO,PDT
FLAVIANO MELO,AC,MDB
FLAVINHO,SP,PSC
FLORIANO PESARO,SP,PSDB
FRANCISCO CHAPADINHA,PA,PODE
FRANCISCO FLORIANO,RJ,DEM
FRANKLIN,MG,PP
FREIRE JÚNIOR,TO,MDB
FREITAS DO PT,TO,PT
GABRIEL GUIMARÃES,MG,PT
GENECIAS NORONHA,CE,SD
GEORGE HILTON,MG,PSC
GEOVANIA DE SÁ,SC,PSDB
GERALDO RESENDE,MS,PSDB
GIACOBO,PR,PR
GILBERTO NASCIMENTO,SP,PSC
GIOVANI CHERINI,RS,PR
GIOVANI FELTES,RS,MDB
GIUSEPPE VECCI,GO,PSDB
GIVALDO CARIMBÃO,AL,AVANTE
GIVALDO VIEIRA,ES,PCdoB
GLAUBER BRAGA,RJ,PSOL
GONZAGA PATRIOTA,PE,PSB
GORETE PEREIRA,CE,PR
GOULART,SP,PSD
GUILHERME MUSSI,SP,PP
HEITOR SCHUCH,RS,PSB
HELDER SALOMÃO,ES,PT
HÉLIO LEITE,PA,DEM
HENRIQUE FONTANA,RS,PT
HERÁCLITO FORTES,PI,DEM
HERCULANO PASSOS,SP,MDB
HERMES PARCIANELLO,PR,MDB
HEULER CRUVINEL,GO,PP
HILDO ROCHA,MA,MDB
HIRAN GONÇALVES,RR,PP
HISSA ABRAHÃO,AM,PDT
HUGO LEAL,RJ,PSD
HUGO MOTTA,PB,PRB
